drug_1_name,drug_2_name,weight
Wardenafil,Telmisartan,2
Klonidyna,Pentonoksifylina,2
Clomipramina,Mirabegron,1
Desipramina,Perampanel,4
Lewodopa,Hydralazina,4
Interferon alfa-n3,Metadon,4
Kofeina,Deferasiroks,2
Flurburfofen,Acenokumarol,0
Dekstroamphetamina,Flupirilen,4
Deferasiroks,Toldaptan,4
Saquinawir,Rolapitant,3
Tacrine,Pizotifen,0
Minocyklina,Doksepina,4
Torasemid,Fenobarbital,0
Oktreotyd,Chinidyna,0
Fondaparinuks,Heparyna,4
Budesonid,Ceritnib,4
Etanol,Quazepam,2
Irinotecan,Idelalisib,1
Fenelzine,Bretylium,3
Lorazepam,Tasimelteon,2
Docetaksel,Sipuleucel-T,0
Brimondyna,Chinapryl,4
Progesteron,Warfaryna,2
Norepinefryna,Dihydrokodeina,4
Abciksimab,Sulindak,1
Fosfofenytoina,Cannabidiol,1
Itrakonazol,Fosfofenytoina,0
Lorazepam,Atropina,2
Buprenorfina,Eluksadlina,4
Ketokonazol,Crizotynib,2
Hydrochlorotiazyd,Chlorfeniramina,0
Clomipramina,Fosforan Tedizolida,2
Aldesleukina,Amlodypina,0
Noetisteron,Ludzki Inhibitor Esterazy-C1,3
Aprepitant,Lewomilnacipran,4
Itrakonazol,Estazolam,2
Trastuzumab,Mitomycyna,2
Pimozyd,Rufinamid,1
Fluwastatyna,Bezafibrat,2
Perampanel,Oksybatan sodu,1
Formoterol,Aminofilina,4
Benzphetamina,Tiotiksen,1
Midodryna,Paracetamol,0
Metylofenidat,Eprosartan,2
Doksylamine,Desllurane,1
Doksorubicyna,Tesmilifen,4
Walsartan,Izosorbyd,4
Klarytromycyna,Estazolam,4
MedroksyProgesterone octan,Acenokumarol,1
Sunitynib,Colchicyna,3
Flufenazyna,Trazodon,3
Mifepriston,Eliglustat,0
Oktreotyd,Wemurafenib,4
Tamoksyfen,Abirateron,3
Citalopram,Promazina,2
Nisoldypina,Atosiban,4
Efawirenz,Hydrokodon,2
Testosteron,Mifepriston,4
Fenelzine,Almotriptan,0
Hialuronidaza (owiec),Budesonid,0
Sertralina,Glukozamina,1
Betametazon,Chlorpropamid,3
Digoksyna,Glycopirronium,3
Ridogrel,Rivaroksaban,0
Demeklocyklina,Sacharoza żelazowa,2
Fentoina,Propafenon,1
Cilostazol,Izavuconazonium,2
Natalizumab,Deksametazon,0
Stiripentol,Brekspiprazol,4
Pramipeksole,Azelastyna,3
